year,activity,married,not married
2013,"went out for entertainment – to a cinema, concert or theatre",7.3,5.3
2013,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.7,9.0
2013,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.3,3.8
2013,"took part in sports, including exercise classes, going to the gym",3.3,2.9
2013,watched live sporting event (not on tv),6.1,3.5
2013,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.6,4.8
2013,"went to a special public event such as a festival, exhibition, etc.",4.1,2.2
2013,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.8,1.6
2013,"went on days out to a beauty/health centre/spa, etc.",0.8,0.3
2013,went on general days out/ to explore an area,12.9,6.5
2013,went on day trips/excursions for another leisure purpose not mentioned above,6.6,3.8
2014,visited friends or family for leisure,26.0,21.0
2014,'special' shopping for items that you do not regularly buy,11.2,8.4
2014,went out for a meal,22.4,13.7
2014,"went on a night out to a bar, pub and/or club",10.1,12.6
2014,"went out for entertainment – to a cinema, concert or theatre",6.9,6.3
2014,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.2,11.6
2014,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.8,4.9
2014,"took part in sports, including exercise classes, going to the gym",2.9,2.5
2014,watched live sporting event (not on tv),6.4,4.1
2014,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,4.7
2014,"went to a special public event such as a festival, exhibition, etc.",5.3,3.4
2014,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.2,1.8
2014,"went on days out to a beauty/health centre/spa, etc.",1.4,0.6
2014,went on general days out/ to explore an area,12.8,9.2
2014,went on day trips/excursions for another leisure purpose not mentioned above,7.0,4.6
2015,visited friends or family for leisure,27.2,25.2
2015,'special' shopping for items that you do not regularly buy,12.2,6.2
2015,went out for a meal,23.4,16.2
2015,"went on a night out to a bar, pub and/or club",10.9,11.4
2015,"went out for entertainment – to a cinema, concert or theatre",7.1,6.8
2015,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.5,10.6
2015,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.0,5.7
2015,"took part in sports, including exercise classes, going to the gym",3.6,4.9
2015,watched live sporting event (not on tv),8.2,5.8
2015,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.2,5.3
2015,"went to a special public event such as a festival, exhibition, etc.",5.3,4.0
2015,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.3,2.5
2015,"went on days out to a beauty/health centre/spa, etc.",1.1,1.2
2015,went on general days out/ to explore an area,13.3,7.4
2015,went on day trips/excursions for another leisure purpose not mentioned above,6.1,4.2
2016,visited friends or family for leisure,25.2,19.3
2016,'special' shopping for items that you do not regularly buy,12.2,5.7
2016,went out for a meal,23.6,12.6
2016,"went on a night out to a bar, pub and/or club",11.4,8.7
2016,"went out for entertainment – to a cinema, concert or theatre",6.5,6.5
2016,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",19.0,10.5
2016,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.7,5.0
2016,"took part in sports, including exercise classes, going to the gym",3.8,4.5
2016,watched live sporting event (not on tv),6.1,6.2
2016,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,6.7
2016,"went to a special public event such as a festival, exhibition, etc.",2.9,3.3
2016,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.0,2.3
2016,"went on days out to a beauty/health centre/spa, etc.",1.5,0.5
2016,went on general days out/ to explore an area,12.5,6.6
2016,went on day trips/excursions for another leisure purpose not mentioned above,7.3,4.4
2017,visited friends or family for leisure,23.4,25.7
2017,'special' shopping for items that you do not regularly buy,12.0,8.6
2017,went out for a meal,21.4,17.1
2017,"went on a night out to a bar, pub and/or club",11.1,11.7
2017,"went out for entertainment – to a cinema, concert or theatre",7.4,7.6
2017,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",20.5,14.1
2017,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.6,4.8
2017,"took part in sports, including exercise classes, going to the gym",4.4,5.9
2017,watched live sporting event (not on tv),6.0,5.7
2017,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.3,7.1
2017,"went to a special public event such as a festival, exhibition, etc.",4.2,5.8
2017,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.4,3.0
2017,"went on days out to a beauty/health centre/spa, etc.",1.3,2.5
2017,went on general days out/ to explore an area,14.5,10.6
2017,went on day trips/excursions for another leisure purpose not mentioned above,4.4,4.8
2018,visited friends or family for leisure,24.8,20.3
2018,'special' shopping for items that you do not regularly buy,11.0,6.6
2018,went out for a meal,23.5,13.9
2018,"went on a night out to a bar, pub and/or club",10.7,8.0
2018,"went out for entertainment – to a cinema, concert or theatre",7.9,5.4
2018,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.5,9.8
2018,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.3,5.6
2018,"took part in sports, including exercise classes, going to the gym",5.4,3.3
2018,watched live sporting event (not on tv),7.3,3.9
2018,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.7,5.0
2018,"went to a special public event such as a festival, exhibition, etc.",4.1,2.6
2018,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.5,2.4
2018,"went on days out to a beauty/health centre/spa, etc.",1.8,0.7
2018,went on general days out/ to explore an area,14.5,10.8
2018,went on day trips/excursions for another leisure purpose not mentioned above,5.9,4.3
2019,visited friends or family for leisure,27.0,21.7
2019,'special' shopping for items that you do not regularly buy,12.6,7.1
2019,went out for a meal,18.8,14.4
2019,"went on a night out to a bar, pub and/or club",9.4,8.4
2019,"went out for entertainment – to a cinema, concert or theatre",7.0,5.7
2019,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.5,13.4
2019,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.1,5.6
2019,"took part in sports, including exercise classes, going to the gym",4.4,3.0
2019,watched live sporting event (not on tv),7.4,5.1
2019,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,4.7
2019,"went to a special public event such as a festival, exhibition, etc.",3.7,4.6
2019,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.5,3.4
2019,"went on days out to a beauty/health centre/spa, etc.",3.6,1.3
2019,went on general days out/ to explore an area,12.8,11.0
2019,went on day trips/excursions for another leisure purpose not mentioned above,5.1,3.7
